year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,city_dup,park_benches,latitude,longitude
2020.0,1.0,Minneapolis,5.7,26.0,15%,38.0,98%,98.0,319,100.0,3.5,47.0,1.7,65.0,4.1,73.0,2.3,100.0,2.9,91.0,4.0,100.0,79.3,341.0,85.3,Minneapolis,,44.9635,-93.2678
2020.0,2.0,Washington,1.4,5.0,24%,50.0,98%,98.0,307,100.0,6.3,100.0,2.0,81.0,1.9,21.0,2.2,100.0,2.6,80.0,4.1,100.0,80.3,333.0,83.3,"Washington, D.C.",,38.9047,-77.0163
2020.0,3.0,St.,3.2,14.0,15%,39.0,99%,99.0,219,100.0,7.7,100.0,1.3,49.0,4.0,72.0,1.7,100.0,3.2,100.0,1.3,47.0,78.0,330.0,82.5,St. Paul,,38.6359,-90.2451
2020.0,4.0,Arlington,2.4,10.0,11%,28.0,99%,99.0,301,100.0,7.9,100.0,3.5,100.0,4.4,80.0,1.1,76.0,3.1,97.0,2.2,81.0,89.0,326.0,81.5,"Arlington, Virginia",,32.6998,-97.125
2020.0,5.0,Cincinnati,4.4,20.0,14%,36.0,82%,74.0,190,100.0,8.7,100.0,1.6,63.0,4.9,94.0,1.5,100.0,3.2,98.0,4.5,100.0,92.5,323.0,80.6,Cincinnati,,39.1413,-84.506
2020.0,6.0,Portland,4.9,22.0,18%,47.0,90%,85.0,250,100.0,3.4,45.0,5.8,100.0,2.1,28.0,0.6,38.0,6.1,100.0,2.1,79.0,65.0,319.0,79.8,Portland,,45.5371,-122.65
2020.0,7.0,Irvine,6.1,28.0,27%,50.0,82%,73.0,215,100.0,17.4,100.0,0.4,4.0,4.3,77.0,1.7,100.0,3.2,98.0,0.7,25.0,67.3,318.0,79.6,Irvine,,33.6772,-117.7738
2020.0,8.0,San,1.3,4.0,21%,50.0,100%,100.0,399,100.0,4.2,61.0,4.1,100.0,2.9,46.0,0.8,52.0,2.4,75.0,1.0,36.0,61.7,316.0,78.9,San Francisco,,37.7558,-122.4449
2020.0,9.0,Boston,1.4,4.0,17%,45.0,100%,100.0,162,92.0,3.8,53.0,1.9,76.0,4.0,70.0,0.9,63.0,1.0,29.0,10.3,100.0,65.2,306.0,76.5,Boston,,42.3188,-71.0852
2020.0,10.0,Chicago,2.2,9.0,10%,24.0,98%,98.0,179,100.0,4.7,70.0,1.0,35.0,3.6,61.0,1.8,100.0,2.4,73.0,8.8,100.0,73.2,304.0,76.0,Chicago,,41.8375,-87.6866
2020.0,11.0,New,1.1,3.0,21%,50.0,99%,99.0,232,100.0,4.1,58.0,1.7,66.0,2.1,27.0,0.1,1.0,0.8,23.0,6.9,100.0,45.8,298.0,74.5,New York,,40.6943,-73.9249
2020.0,12.0,Madison,4.7,21.0,14%,36.0,95%,93.0,134,74.0,10.5,100.0,3.0,100.0,7.0,100.0,0.1,1.0,2.7,85.0,1.1,41.0,71.2,295.0,73.8,Madison,,43.0822,-89.393
2020.0,13.0,St.,2.3,9.0,10%,23.0,98%,97.0,199,100.0,2.8,34.0,1.9,78.0,2.9,45.0,0.6,41.0,2.4,73.0,2.6,97.0,61.3,290.0,72.6,St. Louis,,38.6359,-90.2451
2020.0,14.0,Seattle,2.4,10.0,13%,32.0,96%,95.0,320,100.0,3.3,43.0,1.9,78.0,2.1,26.0,0.7,47.0,2.4,73.0,1.2,45.0,52.0,289.0,72.3,Seattle,,47.6211,-122.3244
2020.0,15.0,Pittsburgh,2.2,9.0,10%,26.0,92%,88.0,142,79.0,6.1,95.0,2.3,94.0,3.9,68.0,1.7,100.0,0.6,14.0,9.1,100.0,78.5,281.0,70.1,Pittsburgh,,40.4397,-79.9763
2020.0,15.0,Philadelphia,3.0,12.0,13%,33.0,95%,93.0,138,77.0,4.9,73.0,0.5,10.0,2.8,43.0,2.3,100.0,2.2,66.0,5.8,100.0,65.3,280.0,70.1,Philadelphia,,40.0077,-75.1339
2020.0,17.0,Plano,13.5,50.0,10%,25.0,75%,63.0,226,100.0,7.1,100.0,1.0,34.0,2.3,32.0,0.3,19.0,1.5,45.0,0.7,22.0,42.0,280.0,70.0,Plano,,33.0502,-96.7486
2020.0,18.0,San,6.8,32.0,19%,50.0,81%,71.0,153,86.0,2.8,35.0,1.2,44.0,2.4,33.0,1.0,65.0,1.5,44.0,0.1,2.0,37.2,276.0,69.0,San Diego,,37.7558,-122.4449
2020.0,19.0,St.,3.5,15.0,16%,40.0,75%,63.0,148,83.0,4.1,58.0,2.3,94.0,3.4,58.0,1.2,82.0,4.7,100.0,1.1,40.0,72.0,273.0,68.3,St. Petersburg,,38.6359,-90.2451
2020.0,20.0,New,2.0,8.0,26%,50.0,80%,70.0,165,94.0,3.3,44.0,0.8,23.0,4.8,91.0,0.7,47.0,2.6,81.0,0.3,6.0,48.7,271.0,67.7,New Orleans,,40.6943,-73.9249
2020.0,21.0,Boise,7.3,34.0,9%,23.0,69%,53.0,172,98.0,2.2,23.0,6.0,100.0,3.4,56.0,1.0,66.0,2.8,87.0,0.9,31.0,60.5,269.0,67.1,Boise,,43.6005,-116.2308
2020.0,22.0,Denver,6.7,31.0,8%,20.0,91%,86.0,130,72.0,4.8,71.0,1.8,71.0,3.6,61.0,0.8,54.0,1.2,35.0,1.6,60.0,58.7,268.0,66.9,Denver,,39.762,-104.8758
2020.0,23.0,Long,3.2,14.0,10%,25.0,84%,76.0,180,100.0,1.6,13.0,2.1,85.0,1.4,10.0,1.3,88.0,3.7,100.0,0.2,4.0,50.0,265.0,66.3,Long Beach,,33.7977,-118.167
2020.0,24.0,Aurora,8.0,37.0,11%,27.0,88%,82.0,149,84.0,1.6,13.0,1.1,37.0,2.2,28.0,0.2,11.0,1.7,51.0,1.3,48.0,31.3,261.0,65.3,Aurora,,39.7083,-104.7237
2020.0,25.0,Lincoln,6.4,30.0,7%,16.0,92%,88.0,108,58.0,8.7,100.0,1.4,52.0,4.6,85.0,0.6,39.0,4.0,100.0,0.7,23.0,66.5,259.0,64.6,Lincoln,,40.8099,-96.6784
2020.0,26.0,Virginia,5.2,24.0,18%,46.0,68%,51.0,185,100.0,3.3,44.0,0.7,18.0,4.1,74.0,0.3,17.0,2.1,65.0,0.2,5.0,37.2,258.0,64.5,Virginia Beach,,36.7335,-76.0435
2020.0,27.0,Henderson,5.8,26.0,13%,34.0,60%,38.0,141,78.0,8.2,100.0,5.2,100.0,2.9,45.0,0.5,32.0,4.7,100.0,5.5,100.0,79.5,256.0,63.9,Henderson,,36.0133,-115.0381
